stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
250000110508,,S Potsdam Hauptbahnhof,,52.390935,13.067187,0,900000230999,
250000110509,,S Potsdam Hauptbahnhof,,52.390935,13.067187,0,900000230999,
250000110801,,"Potsdam, Schloßstr.",,52.394726,13.057692,0,900000230008,
250000110802,,"Potsdam, Schloßstr.",,52.394726,13.057692,0,900000230008,
250000120301,,"Potsdam, Charlottenhof Bhf",,52.392828,13.035788,0,900000230006,
250000120302,,"Potsdam, Charlottenhof Bhf",,52.392828,13.035788,0,900000230006,
250000120501,,"Potsdam, Luftschiffhafen",,52.380805,13.016994,0,900000230060,
250000120502,,"Potsdam, Luftschiffhafen",,52.380805,13.016994,0,900000230060,
250000120601,,"Potsdam, Zum Bahnhof Pirschheide",,52.376718,13.00944,0,900000230059,
250000120602,,"Potsdam, Zum Bahnhof Pirschheide",,52.376718,13.00944,0,900000230059,
250000320701,,"Geltow, Schäfereistr.",,52.363097,12.980224,0,900000220604,
250000320702,,"Geltow, Schäfereistr.",,52.363097,12.980224,0,900000220604,
250000330301,,"Geltow, Ferdinand-Wimmer-Platz",,52.363081,12.973363,0,900000220653,
250000330302,,"Geltow, Ferdinand-Wimmer-Platz",,52.363081,12.973363,0,900000220653,
250000330501,,"Geltow, Baumgartenbrück",,52.360002,12.964184,0,900000220655,
250000330502,,"Geltow, Baumgartenbrück",,52.360002,12.964184,0,900000220655,
250000331001,,"Werder (Havel), Strengbrücke",,52.363941,12.941662,0,900000220619,
250000331002,,"Werder (Havel), Strengbrücke",,52.363941,12.941662,0,900000220619,
250000331201,,"Werder (Havel), Bahnhof",,52.392678,12.926129,0,900000220009,
250000331205,,"Werder (Havel), Bahnhof",,52.392678,12.926129,0,900000220009,
250000332101,,"Werder (Havel), Am Gutshof",,52.375995,12.935677,0,900000220615,
250000332102,,"Werder (Havel), Am Gutshof",,52.375995,12.935677,0,900000220615,
250000332201,,"Werder (Havel), Post",,52.377048,12.933203,0,900000220610,
250000332202,,"Werder (Havel), Post",,52.377048,12.933203,0,900000220610,
250000332301,,"Werder (Havel), Lietzes Weg",,52.372069,12.919487,0,900000220630,
250000332302,,"Werder (Havel), Lietzes Weg",,52.372069,12.919487,0,900000220630,
250000332401,,"Werder (Havel), Phöbener Str.",,52.392452,12.921747,0,900000220640,
250000333001,,"Werder (Havel), Gluckstr.",,52.379792,12.922496,0,900000220636,
250000333002,,"Werder (Havel), Gluckstr.",,52.379792,12.922496,0,900000220636,
250000333301,,"Werder (Havel), Kesselgrundstr.",,52.390391,12.911715,0,900000220639,
250000340101,,"Werder (Havel), Glindower Eck",,52.370835,12.914102,0,900000220668,
250000340102,,"Werder (Havel), Glindower Eck",,52.370835,12.914102,0,900000220668,
250000341001,,"Glindow, Dr.-Wolff-Str.",,52.371169,12.897414,0,900000220669,
250000341002,,"Glindow, Dr.-Wolff-Str.",,52.371169,12.897414,0,900000220669,
250000349701,,"Plötzin, Ortsmitte",,52.363913,12.830383,0,900000222156,
250000349702,,"Plötzin, Ortsmitte",,52.363913,12.830383,0,900000222156,
250000349801,,"Plötzin, Villa Wolter",,52.373366,12.848283,0,900000222157,
